Interval=	0.001 s
ExcelDateTime=	4.3508692196499695e+004	2/12/2019 16:36:45.777573
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 3
Range=	10.000 V	200.0 µV
0.79	-0.005	10.0
0.791	-0.005	9.8
0.792	-0.005	10.2
0.793	-0.005	9.1
0.794	-0.005	6.1
0.795	-0.005	3.4
0.796	-0.005	-3.7
0.797	-0.005	-9.5
0.798	-0.005	-10.1
0.799	-0.005	-12.3
0.8	-0.005	-14.2
0.801	-0.005	-13.9
0.802	-0.005	-14.5
0.803	-0.005	-14.2
0.804	-0.005	-12.6
0.805	-0.005	-9.4
0.806	-0.005	-2.7
0.807	-0.005	1.8
0.808	-0.005	3.6
0.809	-0.005	6.3
0.81	-0.005	10.3
0.811	-0.005	10.3
0.812	-0.005	9.1
0.813	-0.005	7.9
0.814	-0.005	4.7
0.815	-0.005	3.9
0.816	-0.005	-1.7
0.817	-0.005	-6.7
0.818	-0.005	-8.0
0.819	-0.005	-12.3
0.82	-0.005	-14.7
0.821	-0.005	-14.7
0.822	-0.005	-15.9
0.823	-0.005	-14.7
0.824	-0.005	-11.5
0.825	-0.005	-10.0
0.826	-0.005	-4.3
0.827	-0.005	0.3
0.828	-0.005	1.9
0.829	-0.005	7.0
0.83	-0.005	10.5
0.831	-0.005	9.9
0.832	-0.005	9.6
0.833	-0.005	7.7
0.834	-0.005	2.5
0.835	-0.005	-0.8
0.836	-0.005	-5.2
0.837	-0.005	-10.6
0.838	-0.005	-12.5
0.839	-0.005	-15.4
0.84	-0.005	-19.5
0.841	-0.005	-20.1
0.842	-0.005	-19.5
0.843	-0.005	-19.3
0.844	-0.005	-15.9
0.845	-0.005	-12.9
0.846	-0.005	-8.4
0.847	-0.005	-3.4
0.848	-0.005	-1.8
0.849	-0.005	1.3
0.85	-0.005	4.8
0.851	-0.005	4.1
0.852	-0.005	3.3
0.853	-0.005	2.1
0.854	-0.005	-1.0
0.855	-0.005	-3.1
0.856	-0.005	-8.5
0.857	-0.005	-13.5
0.858	-0.005	-13.5
0.859	-0.005	-15.9
0.86	-0.005	-18.9
0.861	-0.005	-18.5
0.862	-0.005	-19.9
0.863	-0.005	-18.8
0.864	-0.005	-15.7
0.865	-0.005	-14.2
0.866	-0.005	-9.3
0.867	-0.005	-4.6
0.868	-0.005	-0.8
0.869	-0.005	3.6
0.87	-0.005	6.8
0.871	-0.005	6.6
0.872	-0.005	6.1
0.873	-0.005	6.7
0.874	-0.005	3.4
0.875	-0.005	-0.4
0.876	-0.005	-4.8
0.877	-0.005	-7.8
0.878	-0.005	-9.8
0.879	-0.005	-12.9
0.88	-0.005	-16.4
0.881	-0.005	-17.3
0.882	-0.005	-17.5
0.883	-0.005	-17.7
0.884	-0.005	-14.9
0.885	-0.005	-12.7
0.886	-0.005	-7.7
0.887	-0.005	-2.8
0.888	-0.005	-1.2
0.889	-0.005	1.1
0.89	-0.005	3.5
0.891	-0.005	3.2
0.892	-0.005	3.9
0.893	-0.005	4.0
0.894	-0.005	-0.2
0.895	-0.005	-2.7
0.896	-0.005	-7.6
0.897	-0.005	-12.7
0.898	-0.005	-15.6
0.899	-0.005	-18.0
0.9	-0.005	-19.9
0.901	-0.005	-21.1
0.902	-0.005	-21.2
0.903	-0.005	-20.2
0.904	-0.005	-17.7
0.905	-0.005	-15.3
0.906	-0.005	-10.2
0.907	-0.005	-5.3
0.908	-0.005	-2.2
0.909	-0.005	1.3
0.91	-0.005	3.9
0.911	-0.005	4.1
0.912	-0.005	5.8
0.913	-0.005	5.6
0.914	-0.005	1.7
0.915	-0.005	0.5
0.916	-0.005	-2.6
0.917	-0.005	-6.3
0.918	-0.005	-7.3
0.919	-0.005	-10.1
0.92	-0.005	-14.2
0.921	-0.005	-14.2
0.922	-0.005	-13.8
0.923	-0.005	-14.0
0.924	-0.005	-10.7
0.925	-0.005	-8.0
0.926	-0.005	-3.0
0.927	-0.005	1.9
0.928	-0.005	4.1
0.929	-0.005	7.6
0.93	-0.005	10.5
0.931	-0.005	11.0
0.932	-0.005	11.9
0.933	-0.005	12.3
0.934	-0.005	9.1
0.935	-0.005	5.6
0.936	-0.005	0.6
0.937	-0.005	-5.0
0.938	-0.005	-6.5
0.939	-0.005	-8.3
0.94	-0.005	-12.4
0.941	-0.005	-12.7
0.942	-0.005	-11.8
0.943	-0.005	-11.8
0.944	-0.005	-9.2
0.945	-0.005	-6.8
0.946	-0.005	-2.6
0.947	-0.005	1.3
0.948	-0.005	2.5
0.949	-0.005	4.6
0.95	-0.005	7.2
0.951	-0.005	8.4
0.952	-0.005	9.2
0.953	-0.005	7.7
0.954	-0.005	4.7
0.955	-0.005	2.1
0.956	-0.005	-3.3
0.957	-0.005	-7.1
0.958	-0.005	-9.0
0.959	-0.005	-10.7
0.96	-0.005	-12.8
0.961	-0.005	-14.4
0.962	-0.005	-14.3
0.963	-0.005	-14.4
0.964	-0.005	-12.4
0.965	-0.005	-9.7
0.966	-0.005	-5.6
0.967	-0.005	-1.0
0.968	-0.005	1.9
0.969	-0.005	6.5
0.97	-0.005	10.5
0.971	-0.005	10.6
0.972	-0.005	10.9
0.973	-0.005	9.3
0.974	-0.005	5.6
0.975	-0.005	3.2
0.976	-0.005	-2.1
0.977	-0.005	-6.1
0.978	-0.005	-7.8
0.979	-0.005	-11.6
0.98	-0.005	-14.6
0.981	-0.005	-13.6
0.982	-0.005	-13.0
0.983	-0.005	-14.2
0.984	-0.005	-12.0
0.985	-0.005	-8.2
0.986	-0.005	-4.1
0.987	-0.005	-0.9
0.988	-0.005	1.0
0.989	-0.005	3.8
0.99	-0.005	6.3
0.991	-0.005	6.4
0.992	-0.005	7.4
